timestamp_ms,lap,lap_time_ms,normalized_pos,speed_kmh,throttle,brake,steer,gear,rpms,g_lat,g_lon,wheel_slip_fl,wheel_slip_fr,wheel_slip_rl,wheel_slip_rr,tyres_out,penalty_time,car_x,car_y,car_z
1,4,25470,0.9913,0.0,0.0,1.0,0.0,1,900,0.0,-0.0,0.0889,0.0837,0.0707,0.0689,0,0.0,-71.14,5.44,-75.67
41,4,25509,0.9913,0.0,0.0,1.0,0.0,1,900,0.0,-0.0,0.0901,0.0767,0.0689,0.0608,0,0.0,-71.14,5.44,-75.67
82,4,25554,0.9913,0.0,0.0,1.0,0.0,1,900,0.0,-0.0,0.0851,0.0824,0.0736,0.0749,0,0.0,-71.14,5.44,-75.67
123,4,25593,0.9913,0.0,0.0,1.0,0.0,1,900,0.0,-0.0,0.0837,0.0804,0.0856,0.0715,0,0.0,-71.14,5.44,-75.67
164,4,25632,0.9913,0.0,0.0,1.0,0.0,1,900,0.0,-0.0,0.078,0.0697,0.0809,0.0625,0,0.0,-71.14,5.44,-75.67
205,4,25677,0.9913,0.0,0.0,1.0,0.0,1,900,0.0,-0.0,0.0791,0.0784,0.0913,0.0819,0,0.0,-71.14,5.44,-75.67
245,4,25716,0.9913,0.0,0.0,1.0,0.0,1,900,0.0,-0.0,0.0814,0.0778,0.0798,0.0755,0,0.0,-71.14,5.44,-75.67
286,4,25755,0.9913,0.0,0.0,1.0,0.0,1,900,0.0,-0.0,0.0785,0.07,0.0722,0.062,0,0.0,-71.14,5.44,-75.67
327,4,25797,0.9913,0.0,0.0,1.0,0.0,1,900,0.0,-0.0,0.0747,0.0808,0.0742,0.0735,0,0.0,-71.14,5.44,-75.67
367,4,25836,0.9913,0.0,0.0,1.0,0.0,1,900,0.0,-0.0,0.0721,0.0705,0.0765,0.0852,0,0.0,-71.14,5.44,-75.67
407,4,25878,0.9913,0.0,0.0,1.0,0.0,1,900,0.0,-0.0,0.0732,0.075,0.0773,0.0774,0,0.0,-71.14,5.44,-75.67
448,4,25917,0.9913,0.0,0.0,1.0,0.0,1,900,0.0,-0.0,0.084,0.0674,0.0886,0.0773,0,0.0,-71.14,5.44,-75.67
489,4,25956,0.9913,0.0,0.0,1.0,0.0,1,900,0.0,-0.0,0.0906,0.0801,0.0864,0.0823,0,0.0,-71.14,5.44,-75.67
530,4,26001,0.9913,0.0,0.0,1.0,0.0,1,900,0.0,-0.0,0.0886,0.0833,0.0848,0.0752,0,0.0,-71.14,5.44,-75.67
570,4,26040,0.9913,0.0,0.0,1.0,0.0,1,900,0.0,-0.0,0.0891,0.0774,0.0766,0.0729,0,0.0,-71.14,5.44,-75.67
611,4,26079,0.9913,0.0,0.0,1.0,0.0,1,900,0.0,-0.0,0.0873,0.0765,0.073,0.0675,0,0.0,-71.14,5.44,-75.67
